advertiser_id,advertiser_name,cohort,flip_date,pre_days,post_days,impressions_pre,impressions_post,impressions_pct_change,vv_pre,vv_post,vv_pct_change,conversions_pre,conversions_post,conversions_pct_change,spend_pre,spend_post,spend_pct_change,order_value_pre,order_value_post,order_value_pct_change,ivr_pre,ivr_post,ivr_pct_change,vvr_pre,vvr_post,vvr_pct_change,cvr_pre,cvr_post,cvr_pct_change,roas_pre,roas_post,roas_pct_change,cpv_pre,cpv_post,cpv_pct_change,cpa_pre,cpa_post,cpa_pct_change,aov_pre,aov_post,aov_pct_change
46408,Meyer- Circulon,Tier1-Wave2,2026-05-06,31,0,3024347.0,0.0,-1.0,5278.0,0.0,-1.0,46.0,0.0,-1.0,66779.12353449308,0.0,-1.0,6411.2,0.0,-1.0,0.0017451701144081682,,,0.001791422487205822,,,0.008715422508525956,,,0.0960060519016614,,,12.65235383374253,,,1451.720076836806,,,139.37391304347827,,
46538,authenTEAK,Tier1-Wave2,2026-05-05,31,1,1762720.0,41778.0,-0.9762991286194064,2625.0,41.0,-0.9843809523809524,18.0,0.0,-1.0,39244.319971143625,954.4631261715089,-0.9756789485236761,18739.760000000002,0.0,-1.0,0.0014891758191885268,0.0009813777586289434,-0.3409926846893672,0.0016456916732389844,0.0013584255516533032,-0.17455646537987005,0.006857142857142857,0.0,-1.0,0.4775152178399157,0.0,-1.0,14.950217131864237,23.279588443207533,0.5571404908621989,2180.239998396868,,,1041.097777777778,,
46846,Wasatch Pain Solutions,Tier1-Wave2,2026-05-06,31,0,24979.0,0.0,-1.0,148.0,0.0,-1.0,3.0,0.0,-1.0,2195.047194451595,0.0,-1.0,0.0,0.0,,0.005924976980663758,,,0.009066960730257919,,,0.02027027027027027,,,0.0,,,14.831399962510776,,,731.6823981505316,,,0.0,,
49659,Arcade Belt Co.,Tier1-Wave2,2026-05-06,31,0,523266.0,0.0,-1.0,2486.0,0.0,-1.0,85.0,0.0,-1.0,11485.656339563962,0.0,-1.0,5760.519999999999,0.0,-1.0,0.004750929737456666,,,0.00544791933748392,,,0.03419147224456959,,,0.5015403412478114,,,4.620135293469011,,,135.1253687007525,,,67.77082352941174,,
49816,ADRA,Tier1-Wave2,2026-05-06,31,0,407773.0,0.0,-1.0,1152.0,0.0,-1.0,26.0,0.0,-1.0,8290.944824993392,0.0,-1.0,0.0,0.0,,0.0028251012205320115,,,0.002826508329857448,,,0.022569444444444444,,,0.0,,,7.1970007161400975,,,318.88249326897665,,,0.0,,
49894,Hartford Foundation,Tier1-Wave2,2026-05-06,31,0,17050.0,0.0,-1.0,124.0,0.0,-1.0,71.0,0.0,-1.0,1497.9109947089946,0.0,-1.0,0.0,0.0,,0.007272727272727273,,,0.007686109217132585,,,0.5725806451612904,,,0.0,,,12.07992737668544,,,21.097337953647813,,,0.0,,
50556,Luxury Detox Options,Tier1-Wave2,2026-05-06,31,0,258773.0,0.0,-1.0,1133.0,0.0,-1.0,174.0,0.0,-1.0,19781.74685942987,0.0,-1.0,0.0,0.0,,0.0043783547742616115,,,0.007060905765263833,,,0.15357458075904679,,,0.0,,,17.45961770470421,,,113.68820034155098,,,0.0,,
52396,Boutique Living by Curate,Tier1-Wave2,2026-05-06,31,0,16695.0,0.0,-1.0,423.0,0.0,-1.0,0.0,0.0,,1331.1799603554123,0.0,-1.0,0.0,0.0,,0.025336927223719677,,,0.030143233806028645,,,0.0,,,0.0,,,3.1469975422113765,,,,,,,,
52589,Workbar,Tier1-Wave2,2026-05-06,31,0,24266.0,0.0,-1.0,1013.0,0.0,-1.0,25.0,0.0,-1.0,2153.916281424282,0.0,-1.0,0.0,0.0,,0.041745652353086624,,,0.043261018107277074,,,0.024679170779861797,,,0.0,,,2.1262747101917885,,,86.15665125697127,,,0.0,,
55727,FrankCrum,Tier1-Wave2,2026-05-06,31,0,27981.0,0.0,-1.0,333.0,0.0,-1.0,23.0,0.0,-1.0,2663.064023852424,0.0,-1.0,0.0,0.0,,0.011900932775812159,,,0.012078346028291621,,,0.06906906906906907,,,0.0,,,7.9971892608180895,,,115.78539234140973,,,0.0,,
56575,Refills,Tier1-Wave2,2026-05-06,31,0,1255105.0,0.0,-1.0,31791.0,0.0,-1.0,534.0,0.0,-1.0,33219.64194222435,0.0,-1.0,269219.0,0.0,-1.0,0.025329354914529062,,,0.026472358946901232,,,0.016797206756629234,,,8.104211371941519,,,1.0449385657017505,,,62.20906730753623,,,504.1554307116105,,
56606,Greensboro Groove,Tier1-Wave2,2026-05-06,31,0,31821.0,0.0,-1.0,396.0,0.0,-1.0,6.0,0.0,-1.0,727.8760498942638,0.0,-1.0,318.78,0.0,-1.0,0.01244461204864712,,,0.012526492265840003,,,0.015151515151515152,,,0.43795918281183743,,,1.8380708330663227,,,121.3126749823773,,,53.129999999999995,,
57847,Income Protection USA,Tier1-Wave2,2026-05-06,31,0,69612.0,0.0,-1.0,55.0,0.0,-1.0,0.0,0.0,,1573.1755410256408,0.0,-1.0,0.0,0.0,,0.0007900936620122967,,,0.0008272667107875579,,,0.0,,,0.0,,,28.60319165501165,,,,,,,,
58209,Aloha,Tier1-Wave2,2026-05-06,31,0,29711.0,0.0,-1.0,338.0,0.0,-1.0,0.0,0.0,,2787.3015490919493,0.0,-1.0,0.0,0.0,,0.011376257951600417,,,0.012006251776072749,,,0.0,,,0.0,,,8.246454287254288,,,,,,,,
58851,Lymow,Tier1-Wave2,2026-05-06,31,0,1096961.0,0.0,-1.0,78102.0,0.0,-1.0,100.0,0.0,-1.0,23982.48632562,0.0,-1.0,246511.75,0.0,-1.0,0.0711985202755613,,,0.08151656591296216,,,0.001280376942972011,,,10.278823748839441,,,0.30706622526465394,,,239.82486325620002,,,2465.1175,,
60423,Catholic Gifts & More,Tier1-Wave2,2026-05-06,31,0,98085.0,0.0,-1.0,1456.0,0.0,-1.0,10.0,0.0,-1.0,2229.0509478984936,0.0,-1.0,819.9900000000001,0.0,-1.0,0.014844267726971505,,,0.015146786509373114,,,0.006868131868131868,,,0.36786507763452914,,,1.5309415850951194,,,222.90509478984936,,,81.99900000000001,,
61088,Portland Sea Dogs DBH,Tier1-Wave2,2026-05-06,31,0,103017.0,0.0,-1.0,1778.0,0.0,-1.0,87.0,0.0,-1.0,2192.9363459820247,0.0,-1.0,5589.25,0.0,-1.0,0.01725928730209577,,,0.05162901446077008,,,0.048931383577052866,,,2.5487515906427567,,,1.2333725230495076,,,25.20616489634511,,,64.24425287356321,,
61830,RITMO,Tier1-Wave2,2026-05-06,31,0,69147.0,0.0,-1.0,5.0,0.0,-1.0,0.0,0.0,,1586.9672152524454,0.0,-1.0,0.0,0.0,,7.230971697976774e-05,,,7.248162590783236e-05,,,0.0,,,0.0,,,317.39344305048905,,,,,,,,
