advertiser_id,advertiser_name,cohort,flip_date,pre_days,post_days,ivr_pre,ivr_post,ivr_pct_change,cvr_pre,cvr_post,cvr_pct_change,roas_pre,roas_post,roas_pct_change,cpa_pre,cpa_post,cpa_pct_change,cpv_pre,cpv_post,cpv_pct_change,impressions_pre,impressions_post,impressions_pct_change,vv_pre,vv_post,vv_pct_change,conversions_pre,conversions_post,conversions_pct_change,spend_pre,spend_post,spend_pct_change,order_value_pre,order_value_post,order_value_pct_change,vvr_pre,vvr_post,vvr_pct_change,aov_pre,aov_post,aov_pct_change
40558,Waggle,Tier1-Wave2,2026-05-06,31,-2,0.015478176324242915,,,0.03300899125508067,,,1.820312919768752,,,41.47183464890241,,,1.3689434272577714,,,524545.0,0.0,-1.0,8119.0,0.0,-1.0,268.0,0.0,-1.0,11114.451685905846,0.0,-1.0,20231.78,0.0,-1.0,0.021549927936871105,,,75.49171641791044,,
40761,COCOLAB,Tier1-Wave2,2026-05-06,31,-2,0.023538967631888886,,,0.04106280193236715,,,0.42763496441784626,,,93.76449104086079,,,3.8502327239000804,,,123115.0,0.0,-1.0,2898.0,0.0,-1.0,119.0,0.0,-1.0,11157.974433862433,0.0,-1.0,4771.54,0.0,-1.0,0.023928067176933937,,,40.09697478991597,,
41801,NJ Sharing Network,Tier1-Wave2,2026-05-06,31,-2,0.026522832346500123,,,0.0030581039755351682,,,0.0,,,1116.269947089947,,,3.4136695629661986,,,24658.0,0.0,-1.0,654.0,0.0,-1.0,2.0,0.0,-1.0,2232.539894179894,0.0,-1.0,0.0,0.0,,0.02725567826630548,,,0.0,,
42021,Sensorio,Tier1-Wave2,2026-05-06,31,-2,0.06703039750584568,,,0.0941860465116279,,,14.495081805160039,,,13.123702119069815,,,1.2360696181914594,,,12830.0,0.0,-1.0,860.0,0.0,-1.0,81.0,0.0,-1.0,1063.019871644655,0.0,-1.0,15408.56,0.0,-1.0,0.07083436290256157,,,190.22913580246913,,
43809,Ostinol,Tier1-Wave2,2026-05-06,31,-2,0.00023848680124609353,,,0.0,,,0.0,,,,,,89.67833487091373,,,201269.0,0.0,-1.0,48.0,0.0,-1.0,0.0,0.0,,4304.560073803859,0.0,-1.0,0.0,0.0,,0.0002393394231919901,,,,,
44101,Dehnco,Tier1-Wave2,2026-05-06,31,-2,0.0012915837609522812,,,0.0,,,0.0,,,,,,70.28904433004433,,,57294.0,0.0,-1.0,74.0,0.0,-1.0,0.0,0.0,,5201.389280423281,0.0,-1.0,0.0,0.0,,0.0013268306677185684,,,,,
44885,Super.com - Fin Tech,Tier1-Wave2,2026-05-06,31,-2,0.06141638493031483,,,0.022750763584842116,,,0.0,,,15.187880611576258,,,0.3455358811487787,,,1402020.0,0.0,-1.0,86107.0,0.0,-1.0,1959.0,0.0,-1.0,29753.05811807789,0.0,-1.0,0.0,0.0,,0.0714944614978408,,,0.0,,
45474,San Diego Detox,Tier1-Wave2,2026-05-06,31,-2,0.0013463883660766525,,,0.06806282722513089,,,0.0,,,814.672803248878,,,55.44893425254144,,,141861.0,0.0,-1.0,191.0,0.0,-1.0,13.0,0.0,-1.0,10590.746442235415,0.0,-1.0,0.0,0.0,,0.002117680973024514,,,0.0,,
45550,Destin-Fort Walton Beach,Tier1-Wave2,2026-05-06,31,-2,0.006795724544160958,,,0.018698870276587457,,,0.0,,,227.87316207634228,,,4.260970697181313,,,1510950.0,0.0,-1.0,10268.0,0.0,-1.0,192.0,0.0,-1.0,43751.64711865772,0.0,-1.0,0.0,0.0,,0.008230432883256584,,,0.0,,
45747,VTSU - Vermont State University,Tier1-Wave2,2026-05-06,31,-2,0.02422534319236189,,,0.01568627450980392,,,0.0,,,235.7530013158404,,,3.698086295150438,,,63157.0,0.0,-1.0,1530.0,0.0,-1.0,24.0,0.0,-1.0,5658.07203158017,0.0,-1.0,0.0,0.0,,0.025940996948118005,,,0.0,,
