week_start,n_cohort,n_pp_adopters,n_default_only,n_custom_only,n_both,n_unclassified,pct_pp_adopters,pct_default_only,pct_custom_only,pct_both,share_default_of_adopters,share_custom_of_adopters,share_both_of_adopters
2025-05-05,1415,1,1,0,0,0,7.067137809187279E-4,7.067137809187279E-4,0.0,0.0,1.0,0.0,0.0
2025-05-12,1442,1,1,0,0,0,6.934812760055479E-4,6.934812760055479E-4,0.0,0.0,1.0,0.0,0.0
2025-05-19,1486,3,2,1,0,0,0.002018842530282638,0.0013458950201884253,6.729475100942127E-4,0.0,0.6666666666666666,0.3333333333333333,0.0
2025-05-26,1505,4,2,2,0,0,0.0026578073089701,0.00132890365448505,0.00132890365448505,0.0,0.5,0.5,0.0
2025-06-02,1473,24,11,13,0,0,0.016293279022403257,0.00746775288526816,0.008825526137135099,0.0,0.4583333333333333,0.5416666666666666,0.0
2025-06-09,1506,27,12,15,0,0,0.017928286852589643,0.00796812749003984,0.0099601593625498,0.0,0.4444444444444444,0.5555555555555556,0.0
2025-06-16,1516,27,12,15,0,0,0.017810026385224276,0.0079155672823219,0.009894459102902375,0.0,0.4444444444444444,0.5555555555555556,0.0
2025-06-23,1522,27,12,15,0,0,0.017739816031537452,0.00788436268068331,0.00985545335085414,0.0,0.4444444444444444,0.5555555555555556,0.0
2025-06-30,1545,28,12,16,0,0,0.018122977346278317,0.007766990291262136,0.010355987055016181,0.0,0.42857142857142855,0.5714285714285714,0.0
2025-07-07,1458,26,12,13,1,0,0.01783264746227709,0.00823045267489712,0.008916323731138546,6.858710562414266E-4,0.46153846153846156,0.5,0.038461538461538464
2025-07-14,1455,25,12,12,1,0,0.01718213058419244,0.008247422680412371,0.008247422680412371,6.872852233676976E-4,0.48,0.48,0.04
2025-07-21,1497,23,11,11,1,0,0.015364061456245824,0.007348029392117568,0.007348029392117568,6.680026720106881E-4,0.4782608695652174,0.4782608695652174,0.043478260869565216
2025-07-28,1529,22,10,11,1,0,0.014388489208633094,0.006540222367560497,0.007194244604316547,6.540222367560497E-4,0.45454545454545453,0.5,0.045454545454545456
2025-08-04,1465,21,10,10,1,0,0.014334470989761093,0.006825938566552901,0.006825938566552901,6.825938566552901E-4,0.47619047619047616,0.47619047619047616,0.047619047619047616
2025-08-11,1520,21,10,10,1,0,0.01381578947368421,0.006578947368421052,0.006578947368421052,6.578947368421052E-4,0.47619047619047616,0.47619047619047616,0.047619047619047616
2025-08-18,1539,21,10,10,1,0,0.01364522417153996,0.00649772579597141,0.00649772579597141,6.49772579597141E-4,0.47619047619047616,0.47619047619047616,0.047619047619047616
2025-08-25,1552,21,9,11,1,0,0.013530927835051547,0.005798969072164949,0.007087628865979381,6.443298969072165E-4,0.42857142857142855,0.5238095238095238,0.047619047619047616
2025-09-01,1498,19,9,9,1,0,0.012683578104138851,0.006008010680907877,0.006008010680907877,6.675567423230974E-4,0.47368421052631576,0.47368421052631576,0.05263157894736842
2025-09-08,1487,18,9,8,1,0,0.0121049092131809,0.00605245460659045,0.005379959650302623,6.724949562878278E-4,0.5,0.4444444444444444,0.05555555555555555
2025-09-15,1521,17,9,7,1,0,0.011176857330703484,0.005917159763313609,0.0046022353714661405,6.574621959237344E-4,0.5294117647058824,0.4117647058823529,0.058823529411764705
2025-09-22,1542,23,10,11,1,1,0.014915693904020753,0.00648508430609598,0.007133592736705577,6.485084306095979E-4,0.43478260869565216,0.4782608695652174,0.043478260869565216
2025-09-29,1612,118,36,70,2,10,0.07320099255583126,0.022332506203473945,0.043424317617866005,0.0012406947890818859,0.3050847457627119,0.5932203389830508,0.01694915254237288
2025-10-06,1583,211,65,129,4,13,0.13329121920404297,0.0410612760581175,0.08149084017687934,0.002526847757422615,0.3080568720379147,0.6113744075829384,0.018957345971563982
2025-10-13,1640,306,92,188,5,21,0.18658536585365854,0.05609756097560976,0.11463414634146342,0.003048780487804878,0.3006535947712418,0.6143790849673203,0.016339869281045753
2025-10-20,1655,345,104,207,7,27,0.2084592145015106,0.06283987915407856,0.12507552870090635,0.004229607250755287,0.30144927536231886,0.6,0.020289855072463767
2025-10-27,1679,380,114,232,6,28,0.22632519356759975,0.06789755807027993,0.13817748659916618,0.00357355568790947,0.3,0.6105263157894737,0.015789473684210527
2025-11-03,1633,367,111,226,7,23,0.224739742804654,0.0679730557256583,0.1383955909369259,0.004286589099816289,0.3024523160762943,0.6158038147138964,0.01907356948228883
2025-11-10,1674,386,117,236,8,25,0.23058542413381122,0.06989247311827956,0.14097968936678615,0.0047789725209080045,0.30310880829015546,0.6113989637305699,0.02072538860103627
2025-11-17,1734,427,131,261,9,26,0.24625144175317185,0.07554786620530565,0.15051903114186851,0.005190311418685121,0.30679156908665106,0.6112412177985949,0.02107728337236534
