advertiser_id,vvs_base,vvs_post,convs_base,convs_post,spend_base,spend_post,ov_base,ov_post,conv_rate_base,conv_rate_post,delta_conv_rate_rel,roas_base,roas_post,delta_roas_rel,aov_base,aov_post,delta_aov_rel,pp_share_base,pp_share_post,delta_pp_share,is_pp_new_adopter,is_pp_continuing,is_non_adopter
40813,4658910,777580,51,20,43983.8573,7266.258158,0,0,1.0946766518348712E-5,2.572082615293603E-5,1.3496277288661807,0,0,,0,0,,0.0,0.0,0.0,false,false,true
32976,963801,86177,613,84,6655.399189,391.455352,211114.06,61338.85,6.360234114718702E-4,9.747380391519779E-4,0.5325505658608736,31.720720877,156.694370601,3.939811148,344.394877651,730.224404762,1.120311457,0.0,0.0,0.0,false,false,true
34729,5156344,2175716,7240,6335,35648.188165,14408.153321,289870.8,266589,0.0014040956150326665,0.0029116851647917282,1.0737086090280168,8.131431495,18.502648748,1.275447904,40.037403315,42.081925809,0.051065312,0.0,0.0,0.0,false,false,true
39715,770078,163877,29,6,7268.145707,1505.663631,129573.2,32970,3.765852290287477E-5,3.661282547276311E-5,-0.02776788226157001,17.827545735,21.897321102,0.22828579,4468.04137931,5495,0.229845369,0.0,0.0,0.0,false,false,true
35158,23856,498071,6,148,206.169148,4452.490232,5223,205514,2.5150905432595576E-4,2.971463907756123E-4,0.1814540497238344,25.333567368,46.157091715,0.821973631,870.5,1388.608108108,0.595184501,0.0,0.0,0.0,false,false,true
34016,602921,496751,163,177,4512.550567,4549.703161,32051.16,27503.75,2.703505102658557E-4,3.563153370602173E-4,0.31797545604713684,7.102670546,6.045174603,-0.148887089,196.632883436,155.388418079,-0.209753652,0.0,0.0,0.0,false,false,true
32370,189792,621594,266,1666,1061.740669,2635.20348,48266.61,306822.5,0.0014015343112459956,0.002680206050894957,0.9123370932761492,45.459886213,116.432185343,1.561207144,181.453421053,184.167166867,0.014955606,0.0,0.0,0.0,false,false,true
39899,33758,11077,0,0,248.880421,51.598134,0,0,0.0,0.0,,0,0,,,,,0.0,0.0,0.0,false,false,true
39087,7901093,1004076,1174,18239,72719.763025,9197.096023,3618318.04,998298.49,1.485870372618067E-4,0.01816495962457025,121.25130778106868,49.75701088,108.544967618,1.181500972,3082.042623509,54.734277647,-0.982240908,0.0,0.0,0.0,false,false,true
33610,740726,122402,514,136,4603.149642,556.239269,174179.45,54028.7,6.939138088847968E-4,0.001111092955997451,0.6011973558835952,37.839189152,97.132121033,1.566971524,338.870525292,397.269852941,0.172335223,0.0,0.0,0.0,false,false,true
31297,5650879,1443954,56962,32820,38961.712805,7948.922632,2602855.16,1429411.6,0.01008020168189763,0.022729255918124816,1.25484138466622,66.805460351,179.824570722,1.691764562,45.694588673,43.553065204,-0.046866019,0.0,0.0,0.0,false,false,true
39116,559339,54143,70,18,5380.465737,468.05106,3380.9,896.75,1.251477190040387E-4,3.3245294867295867E-4,1.6564842836826288,0.628365678,1.915923446,2.049058077,48.298571429,49.819444444,0.031488985,0.0,0.0,0.0,false,false,true
