week_start,n_advertisers,n_campaigns,pct_adv_mm,pct_adv_3p,pct_adv_crm,pct_adv_pp,pct_adv_keywords,pct_camp_mm,pct_camp_3p,pct_camp_crm,pct_camp_pp,pct_camp_keywords,pct_camp_retargeting,pct_camp_prospecting,pct_camp_funnel_1,pct_camp_funnel_ge2
2025-02-03,1615,34008,0.9993808049535604,0.0,0.26625386996904027,0.0,0.5993808049535604,0.989061397318278,0.0,0.06633733239237827,0.0,0.06945424605975065,0.28672665255234064,0.5321100917431193,0.23229828275699835,0.7391790167019525
2025-02-10,1666,35095,0.9993997599039616,0.0,0.26410564225690275,0.0,0.6014405762304922,0.9891437526713207,0.0,0.06616327112124235,0.0,0.07006696110557059,0.2859951560051289,0.5323265422424847,0.23171391936173244,0.7406468157857244
2025-02-17,1729,36488,0.9994216310005783,0.0,0.2631578947368421,0.0,0.6153846153846154,0.9892293356720018,0.0,0.06506248629686472,0.0,0.07158517868888402,0.2854363078272309,0.5324490243367682,0.230349704012278,0.7430662135496602
2025-02-24,1774,38007,1.0,0.0,0.2688838782412627,0.0,0.62119503945885,0.9894493119688479,0.0,0.0685400057884074,0.0,0.07282868945194307,0.28063251506301473,0.5350067092903938,0.2288525797879338,0.7455994948298997
2025-03-03,1823,39042,1.0,0.0,0.2643993417443774,0.0,0.6231486560614372,0.9896265560165975,0.0,0.06825982275498181,0.0,0.07363864556119051,0.27900722299062547,0.535935659033861,0.22877926335740997,0.7463500845243584
2025-03-10,1887,40476,1.0,0.0,0.26179120296767355,0.0,0.6263910969793323,0.9897964225714003,0.0,0.06816385018282439,0.0,0.07436505583555687,0.27967190433837336,0.535082518035379,0.2286787231939915,0.7473317521494219
2025-03-17,1939,42020,1.0,0.0,0.26353790613718414,0.0,0.626611655492522,0.9896001903855307,0.0,0.0702284626368396,0.0,0.07539267015706806,0.2770823417420276,0.5367206092336982,0.22853403141361256,0.7480009519276535
2025-03-24,2010,43428,1.0,0.0,0.263681592039801,0.0,0.6338308457711442,0.9896840747904577,0.0,0.07076079948420375,0.0,0.07739246569033803,0.2739707101409229,0.5388459058671825,0.22856221792392006,0.7487335359675785
2025-03-31,2059,45022,1.0,0.0,0.26129188926663427,0.0,0.6396308887809616,0.9896050819599307,0.0,0.07136511039047577,0.0,0.07856159211052374,0.27235573719514905,0.5396472835502644,0.22866598551819112,0.7494336102349962
2025-04-07,2107,46149,1.0,0.0,0.26625533934504036,0.0,0.6402467963929758,0.989447225291989,0.0,0.07191921818457604,0.0,0.07909163795531864,0.27077509805196215,0.5406184316019849,0.2285639992199181,0.7500704240611931
2025-04-14,2150,48663,1.0,0.0,0.27069767441860465,0.0,0.6465116279069767,0.9894992088445019,0.0,0.07081355444588291,0.0,0.07771818424675832,0.266157039228983,0.5411709101370651,0.22411277562008097,0.7556254238333026
2025-04-21,2179,49759,1.0,0.0,0.2693896282698486,0.0,0.6466268930702157,0.9892481762093289,0.0,0.07060029341425672,0.0,0.07839787777085552,0.2673888140838843,0.5400430072951626,0.22391929098253582,0.7562651982555919
2025-04-28,2227,51285,1.0,0.0,0.26717557251908397,0.0,0.6511001347103726,0.9888076435604952,0.0,0.0714243930973969,0.0,0.08051087062493907,0.26555523057424196,0.5415033635565955,0.22458808618504436,0.7561860193038901
2025-05-05,2297,56492,1.0,0.5398345668262952,0.2694819329560296,4.3535045711797995E-4,0.6491075315629081,0.962950506266374,0.08560504142179423,0.07158535721872124,1.7701621468526518E-5,0.07528499610564328,0.24830064433902146,0.5570700276145295,0.2362989449833605,0.7462295546272039
2025-05-12,2341,57409,1.0,0.5412217001281504,0.26697992310978214,4.2716787697565144E-4,0.6514310123878684,0.9623229807173092,0.08611890121757912,0.07136511696772282,1.7418871605497397E-5,0.07563274051106969,0.247382814541274,0.5577348499364211,0.2361998989705447,0.7466076747548294
2025-05-19,2398,58366,1.0,0.5429524603836531,0.2664720600500417,0.0012510425354462051,0.6563803169307757,0.9621354898399753,0.08597471130452661,0.07136003837850803,1.1993283761093787E-4,0.07629441798307234,0.24858650584244252,0.5570023643902272,0.23638762293115856,0.7467018469656992
2025-05-26,2429,62185,1.0,0.5421984355701935,0.269658295594895,0.0016467682173734047,0.6657060518731989,0.9629492642920319,0.08183645573691405,0.07025810082817399,1.4472943635925062E-4,0.07413363351290504,0.25252070434992363,0.552046313419635,0.23368979657473668,0.7498271287287931
2025-06-02,2481,64414,1.0,0.5477629987908101,0.2704554615074567,0.012091898428053204,0.6702942361950827,0.9624305275250722,0.08224920048436675,0.07085416213866551,6.830813177259602E-4,0.07442481448132393,0.25401310274164,0.5512776725556556,0.23334989288042973,0.7496662216288384
2025-06-09,2543,66765,1.0,0.5485646873771136,0.2674007078254031,0.012976799056232795,0.6740070782540307,0.9617913577473227,0.08176439751366735,0.07003669587358646,7.7885119448813E-4,0.07394592975361342,0.2583389500486782,0.5518160712948401,0.23317606530367707,0.7495244514341346
2025-06-16,2577,67433,1.0,0.5529685681024447,0.26620100892510673,0.012805587892898719,0.6748156771439658,0.9610724719351059,0.08227425741105987,0.07014369818931383,7.859653285483369E-4,0.07471119481559474,0.25815253659187637,0.5527412394524935,0.23369863419987247,0.7491732534515742
2025-06-23,2614,68314,1.0,0.5527926549349655,0.265876052027544,0.01262433052792655,0.6782708492731446,0.9606815586848962,0.08226717803085751,0.07007348420528735,7.758292590098662E-4,0.07525543812395702,0.25898058963023685,0.5532101765377522,0.2342418830693562,0.748850894399391
2025-06-30,2649,69387,1.0,0.5541713854284636,0.2642506606266516,0.012835032087580219,0.6810117025292564,0.9603095680747114,0.08282531309899549,0.07021488175018376,7.782437632409529E-4,0.07616700534682289,0.25875163935607537,0.5547869197400089,0.23452519924481532,0.7488290313747532
2025-07-07,2672,70097,1.0,0.5542664670658682,0.2616017964071856,0.012724550898203593,0.6822604790419161,0.960198011327161,0.08292794270796182,0.07025978287230553,8.55956745652453E-4,0.0766366606274163,0.2584989371870408,0.5557869808978986,0.2348174672239896,0.7487053654222007
2025-07-14,2724,71034,1.0,0.5558002936857562,0.2591776798825257,0.012848751835535976,0.6853891336270191,0.9598220570431061,0.08365008305881691,0.07009319480812005,9.713658248162851E-4,0.07768111045414872,0.25725708815496806,0.5578314609905116,0.23538024044823605,0.748359940310274
2025-07-21,2776,71747,1.0,0.5565561959654178,0.2600864553314121,0.01260806916426513,0.6865994236311239,0.9594547507212845,0.08386413369200106,0.06987051723417007,9.477748198530949E-4,0.07795447893291706,0.2570978577501498,0.5588108213583843,0.235703234978466,0.7481985309490292
2025-07-28,2814,72929,1.0,0.562544420753376,0.259772565742715,0.012082444918265814,0.6915422885572139,0.9592480357608084,0.08415033799997258,0.06951966981584828,9.59837650317432E-4,0.07937857368125163,0.2553990867830356,0.5610936664427045,0.23598294231375722,0.7481797364560051
2025-08-04,2853,73616,1.0,0.5580091132141606,0.25797406239046616,0.011917280056081317,0.69155275148966,0.9591800695500978,0.08382688545968268,0.06960443381873506,9.508802434253424E-4,0.07992827646163878,0.25510758530754185,0.5621060638991524,0.23608998043903498,0.7482204955444468
2025-08-11,2886,74345,1.0,0.5557865557865558,0.25675675675675674,0.01178101178101178,0.695079695079695,0.959069204384962,0.08410787544555787,0.06956755666151053,9.281054543008945E-4,0.08067792050575022,0.25481202501849487,0.5632255027237878,0.23642477638038872,0.7480395453628355
2025-08-18,2926,75103,1.0,0.5553656869446343,0.2552973342447027,0.01161995898838004,0.6968557758031442,0.9587366683088558,0.08420435934649748,0.06937139661531497,9.586834081195158E-4,0.081168528554119,0.2544505545717215,0.5643316511990201,0.23659507609549552,0.7480260442325872
